room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
18115978,1182,108733722,Shared room,,Oahu,,1,0,0.0,3,1.0,,30.0,,2017-05-04 19:08:26.859774,21.326923,-158.078538,0101000020E6100000C9AF1F6283C263C06A4FC939B1533540
14487303,1182,24276332,Shared room,,Oahu,,2,0,0.0,1,1.0,,30.0,,2017-05-04 19:08:26.856900,21.577177,-158.106051,0101000020E6100000A91611C564C363C0DE0033DFC1933540
14340264,1182,24276332,Shared room,,Oahu,,2,7,4.5,1,1.0,,30.0,,2017-05-04 19:08:26.854519,21.575937,-158.107848,0101000020E61000000C1EA67D73C363C06D8E739B70933540
17436770,1182,9509869,Shared room,,Oahu,,5,8,4.5,1,1.0,,38.0,,2017-05-04 19:08:26.852335,21.289811,-157.797953,0101000020E6100000D8D7BAD488B963C06405BF0D314A3540
14806008,1182,24276332,Shared room,,Oahu,,2,11,4.0,1,1.0,,29.0,,2017-05-04 19:08:26.850219,21.578908,-158.105265,0101000020E61000003B8DB4545EC363C08C648F5033943540
11420675,1182,31181927,Shared room,,Oahu,,5,1,0.0,1,1.0,,25.0,,2017-05-04 19:08:26.847158,21.310222,-157.786494,0101000020E6100000021077F52AB963C0ED7F80B56A4F3540
14610043,1182,24276332,Shared room,,Oahu,,2,0,0.0,1,1.0,,30.0,,2017-05-04 19:08:26.843789,21.576998,-158.105066,0101000020E61000007D3D5FB35CC363C07FDB1324B6933540
14806054,1182,24276332,Shared room,,Oahu,,2,12,4.5,1,1.0,,30.0,,2017-05-04 19:08:25.771784,21.576393,-158.10612,0101000020E6100000732EC55565C363C0B1A4DC7D8E933540
14806087,1182,24276332,Shared room,,Oahu,,2,19,4.5,1,1.0,,30.0,,2017-05-04 19:08:25.769805,21.575405,-158.107982,0101000020E6100000D0D1AA9674C363C073F4F8BD4D933540
17345883,1182,28486620,Shared room,,Oahu,,5,0,0.0,2,1.0,,26.0,,2017-05-04 19:08:25.767635,21.296488,-157.830658,0101000020E6100000250516C094BA63C00DA837A3E64B3540
18212657,1182,125739154,Shared room,,Oahu,,4,0,0.0,6,1.0,,36.0,,2017-05-04 19:08:25.765506,21.273038,-157.821203,0101000020E6100000118C834B47BA63C0B49080D1E5453540
16110955,1182,99278808,Shared room,,Oahu,,5,9,5.0,1,1.0,,35.0,,2017-05-04 19:08:25.762778,21.296624,-157.845008,0101000020E6100000789B374E0ABB63C06E35EB8CEF4B3540
14410380,1182,7918368,Shared room,,Oahu,,4,13,5.0,3,1.0,,40.0,,2017-05-04 19:08:25.758972,21.289661,-157.837288,0101000020E6100000AA2A3410CBBA63C039ED2939274A3540
13400210,1182,9509869,Shared room,,Oahu,,5,8,5.0,1,1.0,,38.0,,2017-05-04 19:08:25.756168,21.290037,-157.796589,0101000020E61000004FEB36A87DB963C045A165DD3F4A3540
13533187,1182,12935418,Shared room,,Oahu,,5,20,5.0,1,1.0,,35.0,,2017-05-04 19:08:25.753511,21.288534,-157.799332,0101000020E6100000AED4B32094B963C0B8C83D5DDD493540
16707952,1182,108733722,Shared room,,Oahu,,1,4,5.0,3,1.0,,33.0,,2017-05-04 19:08:25.749924,21.324071,-158.076804,0101000020E61000007786A92D75C263C0FF942A51F6523540
6226326,1182,31181927,Shared room,,Oahu,,5,86,4.5,1,1.0,,30.0,,2017-05-04 19:08:25.747185,21.31131,-157.785411,0101000020E610000066DD3F1622B963C0F2EA1C03B24F3540
15327028,1182,91584455,Shared room,,Oahu,,1,0,0.0,10,1.0,,40.0,,2017-05-04 19:08:25.744369,21.347772,-158.127432,0101000020E6100000D80E46EC13C463C0EA76F69507593540
14379128,1182,24276332,Shared room,,Oahu,,2,17,4.5,1,1.0,,30.0,,2017-05-04 19:08:25.741272,21.576364,-158.105924,0101000020E6100000917BBABA63C363C07D9752978C933540
14469303,1182,915792,Shared room,,Oahu,,4,15,5.0,2,1.0,,39.0,,2017-05-04 19:08:25.735497,21.289134,-157.837052,0101000020E6100000A5A14621C9BA63C0632992AF044A3540
14502722,1182,46236470,Shared room,,Oahu,,4,19,4.5,1,1.0,,16.0,,2017-05-04 19:08:25.733193,21.277016,-157.822577,0101000020E6100000232E008D52BA63C0FF774485EA463540
9498164,1182,49224276,Shared room,,Oahu,,2,23,4.5,1,1.0,,20.0,,2017-05-04 19:08:25.730513,21.679314,-158.034582,0101000020E6100000F8E0B54B1BC163C007B7B585E7AD3540
15888158,1182,99278808,Shared room,,Oahu,,5,17,4.5,1,1.0,,35.0,,2017-05-04 19:08:25.728138,21.295159,-157.845912,0101000020E610000068E90AB611BB63C0BD1E4C8A8F4B3540
15213931,1182,96656264,Shared room,,Oahu,,5,4,5.0,1,1.0,,30.0,,2017-05-04 19:08:25.724801,21.293546,-157.830047,0101000020E610000093E4B9BE8FBA63C022DFA5D4254B3540
17046835,1182,108733722,Shared room,,Oahu,,1,6,4.0,3,1.0,,33.0,,2017-05-04 19:08:25.722195,21.324414,-158.078316,0101000020E61000001D588E9081C263C0535DC0CB0C533540
17590863,1182,119517358,Shared room,,Oahu,,4,0,0.0,1,1.0,,30.0,,2017-05-04 19:08:24.400421,21.283478,-157.830226,0101000020E61000003FC91D3691BA63C0AF22A30392483540
16174110,1182,83077023,Shared room,,Oahu,,9,1,0.0,1,1.0,,40.0,,2017-05-04 19:08:24.395537,21.335107,-158.022402,0101000020E6100000AE2B6684B7C063C022A98592C9553540
16219192,1182,27819181,Shared room,,Oahu,,5,0,0.0,1,1.0,,25.0,,2017-05-04 19:08:24.392642,21.292909,-157.82012,0101000020E610000075594C6C3EBA63C03EB48F15FC4A3540
11400444,1182,31181927,Shared room,,Oahu,,5,5,5.0,1,1.0,,25.0,,2017-05-04 19:08:24.383874,21.311433,-157.785818,0101000020E61000007653CA6B25B963C02AE5B512BA4F3540
12852914,1182,34175729,Shared room,,Oahu,,5,44,4.5,1,1.0,,30.0,,2017-05-04 19:08:24.381518,21.291589,-157.830615,0101000020E61000002592E86594BA63C093DFA293A54A3540
14358079,1182,24276332,Shared room,,Oahu,,2,20,5.0,1,1.0,,30.0,,2017-05-04 19:08:24.378987,21.576488,-158.106239,0101000020E6100000E9D1544F66C363C05589B2B794933540
9511280,1182,49224276,Shared room,,Oahu,,2,26,5.0,1,1.0,,23.0,,2017-05-04 19:08:24.375648,21.679966,-158.032026,0101000020E6100000E5D3635B06C163C05664744012AE3540
18072090,1182,13030064,Shared room,,Oahu,,5,2,0.0,2,1.0,,35.0,,2017-05-04 19:08:24.372534,21.30478,-157.847724,0101000020E61000001901158E20BB63C09279E40F064E3540
17446660,1182,80635965,Shared room,,Oahu,,7,0,0.0,1,1.0,,28.0,,2017-05-04 19:08:24.369572,21.3187,-157.860558,0101000020E6100000F549EEB089BB63C0363CBD5296513540
15508918,1182,99278808,Shared room,,Oahu,,5,25,5.0,1,1.0,,35.0,,2017-05-04 19:08:24.367041,21.29487,-157.844706,0101000020E61000008597E0D407BB63C04F92AE997C4B3540
13065133,1182,3120933,Shared room,,Oahu,,5,31,5.0,1,1.0,,33.0,,2017-05-04 19:08:24.364700,21.29137,-157.819867,0101000020E61000003A02B8593CBA63C018096D39974A3540
15347354,1182,46236470,Shared room,,Oahu,,4,24,4.5,1,1.0,,15.0,,2017-05-04 19:08:24.362131,21.276881,-157.822196,0101000020E6100000DD5CFC6D4FBA63C03FE257ACE1463540
16920095,1182,108733722,Shared room,,Oahu,,1,5,4.0,3,1.0,,33.0,,2017-05-04 19:08:24.359803,21.324629,-158.079189,0101000020E61000007FA65EB788C263C04C55DAE21A533540
14375423,1182,24276332,Shared room,,Oahu,,2,29,4.5,1,1.0,,30.0,,2017-05-04 19:08:24.357304,21.575187,-158.107915,0101000020E6100000EE77280A74C363C098158A743F933540
6006832,1182,31181927,Shared room,,Oahu,,5,112,4.5,1,1.0,,30.0,,2017-05-04 19:08:24.354875,21.310039,-157.782467,0101000020E610000060E63BF809B963C00B7C45B75E4F3540
9510449,1182,49224276,Shared room,,Oahu,,2,10,4.5,1,1.0,,20.0,,2017-05-04 19:08:24.351513,21.679976,-158.033047,0101000020E6100000640795B80EC163C09D103AE812AE3540
14806137,1182,24276332,Shared room,,Oahu,,2,29,4.5,1,1.0,,30.0,,2017-05-04 19:08:24.348617,21.57525,-158.107621,0101000020E61000009C6B98A171C363C02506819543933540
9135622,1182,1191923,Entire home/apt,,Oahu,,2,4,5.0,12,5.0,,1200.0,,2017-05-04 19:05:39.951385,21.650361,-157.924736,0101000020E6100000E2ADF36F97BD63C00798F90E7EA63540
8311979,1182,43821712,Entire home/apt,,Oahu,,3,0,0.0,14,7.0,,6000.0,,2017-05-04 19:04:49.854200,21.384836,-157.710582,0101000020E61000000A647616BDB663C0CE52B29C84623540
15241465,1182,96909284,Entire home/apt,,Oahu,,3,0,0.0,8,4.0,,500.0,,2017-05-04 19:03:21.983430,21.33937,-157.700454,0101000020E610000047CB811E6AB663C0573ECBF3E0563540
9094914,1182,1191923,Entire home/apt,,Oahu,,2,11,4.5,8,4.0,,495.0,,2017-05-04 19:03:07.213543,21.654266,-158.061496,0101000020E6100000B79A75C6F7C163C07EE200FA7DA73540
5161483,1182,26694564,Entire home/apt,,Oahu,,2,0,0.0,6,2.0,,300.0,,2017-05-04 19:03:05.898366,21.581429,-158.127567,0101000020E610000090A1630715C463C02CF2EB87D8943540
15302159,1182,1191923,Entire home/apt,,Oahu,,4,0,0.0,12,5.0,,1400.0,,2017-05-04 19:01:20.255825,21.263996,-157.711006,0101000020E610000050A8A78FC0B663C05A46EA3D95433540
9095685,1182,1191923,Entire home/apt,,Oahu,,2,2,0.0,16,5.0,,995.0,,2017-05-04 19:01:17.320961,21.61669,-158.088306,0101000020E61000004CC11A67D3C263C02EC55565DF9D3540
9078748,1182,1191923,Entire home/apt,,Oahu,,2,5,5.0,10,4.0,,730.0,,2017-05-04 19:01:15.490879,21.615884,-158.087347,0101000020E6100000EB8CEF8BCBC263C03221E692AA9D3540
17364236,1182,117322203,Entire home/apt,,Oahu,,4,0,0.0,10,5.0,,700.0,,2017-05-04 19:01:08.944138,21.258676,-157.79719,0101000020E610000058569A9482B963C09642209738423540
9095087,1182,1191923,Entire home/apt,,Oahu,,2,7,5.0,6,3.0,,560.0,,2017-05-04 19:01:07.484305,21.613563,-158.092275,0101000020E6100000A167B3EAF3C263C02009FB76129D3540
15208942,1182,39428446,Entire home/apt,,Oahu,,4,0,0.0,5,1.0,,190.0,,2017-05-04 18:59:01.311171,21.279571,-157.825114,0101000020E610000019AF795567BA63C0F7E80DF791473540
18094664,1182,100269753,Entire home/apt,,Oahu,,4,0,0.0,6,1.0,,150.0,,2017-05-04 18:58:51.370285,21.275897,-157.821968,0101000020E610000079CBD58F4DBA63C08410902FA1463540
18024404,1182,123407005,Entire home/apt,,Oahu,,2,0,0.0,6,3.0,,80.0,,2017-05-04 18:58:18.108170,21.632655,-158.069275,0101000020E6100000C66D348037C263C0A0A696ADF5A13540
16649758,1182,49339635,Entire home/apt,,Oahu,,1,0,0.0,4,0.0,,261.0,,2017-05-04 18:56:13.629041,21.330902,-158.121712,0101000020E6100000FC709010E5C363C0552E54FEB5543540
2811961,1182,10496350,Entire home/apt,,Oahu,,4,1,0.0,13,5.0,,2800.0,,2017-05-04 18:51:49.273373,21.281493,-157.737339,0101000020E61000001762F54798B763C08D0DDDEC0F483540
15273933,1182,94422296,Entire home/apt,,Oahu,,4,4,4.0,10,4.0,,900.0,,2017-05-04 18:07:37.490484,21.277872,-157.779453,0101000020E61000009CF86A47F1B863C05F79909E22473540
15673769,1182,17709954,Entire home/apt,,Oahu,,3,0,0.0,10,5.0,,890.0,,2017-05-04 18:07:36.155393,21.336844,-157.697878,0101000020E610000022533E0455B663C094DA8B683B563540
8631455,1182,26567464,Entire home/apt,,Oahu,,4,9,5.0,8,4.0,,750.0,,2017-05-04 18:07:36.152176,21.309513,-157.674159,0101000020E6100000BB29E5B592B563C0D5AF743E3C4F3540
17712082,1182,10496350,Entire home/apt,,Oahu,,4,0,0.0,12,5.0,,950.0,,2017-05-04 18:07:36.137385,21.272362,-157.70749,0101000020E6100000E88711C2A3B663C054AC1A84B9453540
9380547,1182,44494008,Entire home/apt,,Oahu,,4,0,0.0,6,2.0,,830.0,,2017-05-04 18:07:36.134349,21.283138,-157.838407,0101000020E610000099B7EA3AD4BA63C03E4162BB7B483540
4977910,1182,14898273,Entire home/apt,,Oahu,,3,1,0.0,6,3.0,,970.0,,2017-05-04 18:07:36.131310,21.398152,-157.730868,0101000020E61000002CB6494563B763C045D61A4AED653540
4028743,1182,18251510,Entire home/apt,,Oahu,,4,19,4.5,10,4.0,,1000.0,,2017-05-04 18:07:36.124116,21.276992,-157.760463,0101000020E61000002D5A80B655B863C0EE409DF2E8463540
